Nazwa szkoły,Ulica nr,powiat - nazwa,Gmina/Dzielnica - nazwa,lat,long
PUBLICZNA SP IM. JANUSZA KORCZAKA W SUCHEJ,Szlachecka 88A,Białobrzeski,Białobrzegi,51.6169899,20.953985020577502
PUBLICZNA SP NR 1 IM. KOMISJI EDUKACJI NARODOWEJ W BIAŁOBRZEGACH,Rzemieślnicza 21,Białobrzeski,Białobrzegi,51.645062,20.9534861
PUBLICZNA SP IM. MARII KONOPNICKIEJ W OLKOWICACH,23,Białobrzeski,Promna,51.6806227,20.9603967
PUBLICZNA SP IM. WŁADYSŁAWA ROSŁOŃCA W PRZYBYSZEWIE,Władysława Rosłońca 5,Białobrzeski,Promna,51.6655235,20.854947
PUBLICZNA SP IM. TADEUSZA KIERZKOWSKIEGO W PROMNIE,39,Białobrzeski,Promna,51.682349450000004,20.95222422400395
PUBLICZNA SP IM. HENRYKA SIENKIEWICZA W ROGOLINIE,4a,Białobrzeski,Radzanów,52.94307,20.09258
PUBLICZNA SP IM. DIONIZEGO FELIKSA CZACHOWSKIEGO W BUKÓWNIE,1,Białobrzeski,Radzanów,50.4306384,20.766533458930695
PUBLICZNA SP IM. JANUSZA KORCZAKA W CZARNOCINIE,58,Białobrzeski,Radzanów,50.4282539,20.753996771296297
PUBLICZNA SP IM. MARII KONOPNICKIEJ W STARYM GOŹDZIE,90,Białobrzeski,Stara Błotnica,51.5462702,20.9749741
PUBLICZNA SP IM. OJCA ŚWIĘTEGO JANA PAWŁA II W STAREJ BŁOTNICY,49,Białobrzeski,Stara Błotnica,51.545798149999996,20.972290156730764
PUBLICZNA SP IM. BISKUPA JANA CHRAPKA W STARYCH SIEKLUKACH,78,Białobrzeski,Stara Błotnica,51.54779,20.9582
PUBLICZNA SP IM. DIONIZEGO CZACHOWSKIEGOW STROMCU,Radomska 27,Białobrzeski,Stromiec,51.638726500000004,21.08701856640905
PUBLICZNA SP IM. ARMII KRAJOWEJ W BOŻEM,1,Białobrzeski,Stromiec,51.6464554,21.0910141
PUBLICZNA SP IM. TADEUSZA KOŚCIUSZKI W PODLESIU DUŻYM,71,Białobrzeski,Stromiec,51.6464554,21.0910141
PUBLICZNA SP IM. ŚW JANA PAWŁA II W BOBRKU,24,Białobrzeski,Stromiec,51.61119,21.05491
PUBLICZNA SP IM. KS. KAZIMIERZA KNIEDZIAŁOWSKIEGO W DOBIESZYNIE,45a,Białobrzeski,Stromiec,51.6170655,21.1986298
PUBLICZNA SP W KOSTRZYNIU,66A,Białobrzeski,Wyśmierzyce,51.6251076,20.8119331
PUBLICZNA SP IM.BŁ.KS.PROF FRANCISZKA ROSŁAŃCA W WYŚMIERZYCACH,Adama Mickiewicza 4,Białobrzeski,Wyśmierzyce,51.624430000000004,20.813474124438116
SP NR 5 IM. WŁADYSŁAWA BRONIEWSKIEGO W CIECHANOWIE,Władysława Broniewskiego 1,Ciechanowski,Ciechanów,52.8879408,20.5997081
SP NR 6 IM. TADEUSZA KOŚCIUSZKI W CIECHANOWIE,Wiklinowa 4,Ciechanowski,Ciechanów,52.8781688,20.6058374
SP NR 7 Z ODDZIAŁAMI INTEGRACYJNYMI IM. JANA PAWŁA II W CIECHANOWIE,Stefana Czarnieckiego 40,Ciechanowski,Ciechanów,52.87067,20.59719
SPOŁECZNA SP STO Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. IRENY SENDLEROWEJ W CIECHANOWIE,Stanisława Wyspiańskiego 11A,Ciechanowski,Ciechanów,52.8875179,20.5991201
"SP NR 4 IM 21. WARSZAWSKIEGO PUŁKU PIECHOTY ""DZIECI WARSZAWY"" W CIECHANOWIE",Płońska 143,Ciechanowski,Ciechanów,52.863144750000004,20.63133605456878
SP NR 3 IM. ORŁA BIAŁEGO W CIECHANOWIE,Powstańców Wielkopolskich 1,Ciechanowski,Ciechanów,52.882460699999996,20.632445951198786
SP TWP,Ignacego Kraszewskiego 8a,Ciechanowski,Ciechanów,52.8864865,20.6024367
SP W CHOTUMIU,25,Ciechanowski,Ciechanów,51.577105200000005,16.431551937009136
SP IM. 11 PUŁKU UŁANÓW LEGIONOWYCH W GUMOWIE,6,Ciechanowski,Ciechanów,51.5877085,16.4367241
NIEPUBLICZNA SP W GORYSZACH,14,Ciechanowski,Ciechanów,51.5803675,16.429229077199636
SP IM. M. KONOPNICKIEJ W GLINOJECKU,Płocka 7,Ciechanowski,Glinojeck,52.8184859,20.2858114
SP W WOLI MŁOCKIEJ,32,Ciechanowski,Glinojeck,52.819174,20.2862655
SP IM. ŻOŁNIERZY ARMII KRAJOWEJ W OŚCISŁOWIE,81,Ciechanowski,Glinojeck,52.819174,20.2862655
SP IM. P. J. GOŁASZEWSKIEGO W GOŁYMINIE-OŚRODKU,ks. Michalaka 10C,Ciechanowski,Gołymin-Ośrodek,52.806429050000006,20.873945391186712
SP,Szkolna 2,Ciechanowski,Grudusk,53.05599205,20.624094100922342
SP W HUMIĘCINIE,20,Ciechanowski,Grudusk,53.0616402,20.625647
SP IM. WACŁAWA KOZIŃSKIEGO W KRASZEWIE,57A,Ciechanowski,Ojrzeń,52.7669148,20.5427378
SP W OJRZENIU,Przedszkolna 7,Ciechanowski,Ojrzeń,52.767658100000006,20.545622396448568
SP IM. MARII KONOPNICKIEJ W MŁOCKU,72,Ciechanowski,Ojrzeń,52.7669148,20.5427378
SP IM.ZYGMUNTA KRASIŃSKIEGO W OPINOGÓRZE GÓRNEJ,Zygmunta Krasińskiego 25,Ciechanowski,Opinogóra Górna,52.907836700000004,20.717273468753348
SP IM. ŚW. STANISŁAWA KOSTKI W WOLI WIERZBOWSKIEJ,27,Ciechanowski,Opinogóra Górna,52.9038465,20.7143163
SP IM. MARII KONOPNICKIEJ W KOŁACZKOWIE,Szkolna 2,Ciechanowski,Opinogóra Górna,52.8963485,20.8136053
SP IM. STEFANA ŻEROMSKIEGO W SZULMIERZU,78,Ciechanowski,Regimin,52.94148,20.55454
SP IM.ZYGMUNTA PADLEWSKIEGO W ZEŃBOKU,50,Ciechanowski,Regimin,52.94148,20.55454
SP IM. TEOFILA LENARTOWICZA W REGIMINIE,Heleny Dobrzynieckiej 1,Ciechanowski,Regimin,52.9424102,20.5508267
SPOŁECZNA SP W KAŁĘCZYNIE,11,Ciechanowski,Sońsk,52.7813961,20.6961175
SP W SOŃSKU,Szkolna 4,Ciechanowski,Sońsk,52.78355835,20.686477850000003
"SP IM."" BOHATERÓW BITWY POD SARNOWĄ GÓRĄ 1920""W BĄDKOWIE",1,Ciechanowski,Sońsk,52.7813961,20.6961175
SP W GĄSOCINIE,Błotna 12,Ciechanowski,Sońsk,52.73593495,20.716609262911348
SP SPECJALNA W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII,Aleksandry Bąkowskiej 29,Ciechanowski,Sońsk,52.802565099999995,20.696701656088116
SP SPECJALNA W MŁODZIEŻOWYM OŚRODKU WYCHOWAWCZYM W GOŁOTCZYŹNIE,Aleksandry Bąkowskiej 29,Ciechanowski,Sońsk,52.802565099999995,20.696701656088116
SP IM. A.SASIMOWSKIEGO W BOROWIU,Aleksandra Sasimowskiego 3,Garwoliński,Borowie,51.94510075,21.769407527893392
