ID OKE,województwo - nazwa,powiat - nazwa,Gmina/Dzielnica - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,liczba zdających,pol_odchylenie standardowe,pol_mediana,pol_modalna,mat_wynik średni,mat_odchylenie standardowe,mat_mediana,mat_modalna,ang_wynik średni,ang_odchylenie standardowe,ang_mediana,ang_modalna,lat,long
7,Mazowieckie,Białobrzeski,Białobrzegi,Obszar wiejski,1401015,53424,dla młodzieży,Tak,PUBLICZNA SP IM. JANUSZA KORCZAKA W SUCHEJ,Sucha,Szlachecka 88A,36,17.707935725383713,53.0,53.0,49.666666666666664,27.68673970614011,50.0,16.0,64.47058823529412,30.588574658750918,75.0,96.0,51.6169899,20.953985020577502
7,Mazowieckie,Białobrzeski,Białobrzegi,Miasto,1401014,53602,dla młodzieży,Tak,PUBLICZNA SP NR 1 IM. KOMISJI EDUKACJI NARODOWEJ W BIAŁOBRZEGACH,Białobrzegi,Rzemieślnicza 21,139,19.42236066455274,64.0,62.0,56.115107913669064,29.856028430142004,56.0,16.0,59.422222222222224,30.036389452762545,62.0,98.0,51.645062,20.9534861
7,Mazowieckie,Białobrzeski,Promna,Gmina wiejska,1401022,26129,dla młodzieży,Tak,PUBLICZNA SP IM. MARII KONOPNICKIEJ W OLKOWICACH,Olkowice,23,19,26.72088209932833,47.0,7.0,38.31578947368421,27.045872594108165,28.0,24.0,44.705882352941174,28.97618638058897,33.0,20.0,51.6806227,20.9603967
7,Mazowieckie,Białobrzeski,Promna,Gmina wiejska,1401022,31929,dla młodzieży,Tak,PUBLICZNA SP IM. WŁADYSŁAWA ROSŁOŃCA W PRZYBYSZEWIE,Przybyszew,Władysława Rosłońca 5,21,16.1183266350679,47.0,33.0,33.904761904761905,21.260078309009483,28.0,16.0,32.75,23.79259338533738,22.0,16.0,51.6655235,20.854947
7,Mazowieckie,Białobrzeski,Promna,Gmina wiejska,1401022,26130,dla młodzieży,Tak,PUBLICZNA SP IM. TADEUSZA KIERZKOWSKIEGO W PROMNIE,Promna-Kolonia,39,17,17.653724231412316,51.0,27.0,50.8235294117647,24.83885782662898,56.0,24.0,54.23529411764706,29.508781169170057,55.0,16.0,51.682349450000004,20.95222422400395
7,Mazowieckie,Białobrzeski,Radzanów,Gmina wiejska,1401032,80552,dla młodzieży,Tak,PUBLICZNA SP IM. HENRYKA SIENKIEWICZA W ROGOLINIE,Rogolin,4a,42,15.228345094955845,51.0,53.0,47.42857142857143,27.151377108934355,36.0,20.0,41.357142857142854,26.03003890066375,28.0,25.0,52.94307,20.09258
7,Mazowieckie,Białobrzeski,Radzanów,Gmina wiejska,1401032,74430,dla młodzieży,Tak,PUBLICZNA SP IM. DIONIZEGO FELIKSA CZACHOWSKIEGO W BUKÓWNIE,Bukówno,1,19,15.936856010561964,60.0,58.0,60.8421052631579,26.32841802250692,56.0,92.0,59.10526315789474,28.112358654891878,55.0,22.0,50.4306384,20.766533458930695
7,Mazowieckie,Białobrzeski,Radzanów,Gmina wiejska,1401032,80553,dla młodzieży,Tak,PUBLICZNA SP IM. JANUSZA KORCZAKA W CZARNOCINIE,Czarnocin,58,6,15.15933888913219,58.0,,54.666666666666664,24.073960113690386,52.0,28.0,49.0,29.70409623828561,38.5,,50.4282539,20.753996771296297
7,Mazowieckie,Białobrzeski,Stara Błotnica,Gmina wiejska,1401042,85604,dla młodzieży,Tak,PUBLICZNA SP IM. MARII KONOPNICKIEJ W STARYM GOŹDZIE,Stary Gózd,90,30,15.833894726889596,61.0,51.0,51.46666666666667,29.928507406076164,52.0,28.0,58.833333333333336,31.256021642059448,53.0,100.0,51.5462702,20.9749741
7,Mazowieckie,Białobrzeski,Stara Błotnica,Gmina wiejska,1401042,85601,dla młodzieży,Tak,PUBLICZNA SP IM. OJCA ŚWIĘTEGO JANA PAWŁA II W STAREJ BŁOTNICY,Stara Błotnica,49,31,15.861261128250932,56.0,56.0,52.516129032258064,26.933455592940525,56.0,72.0,43.16129032258065,25.436951498968465,33.0,16.0,51.545798149999996,20.972290156730764
